t,kid_k,c_parameter,I_predict,W_cost,eta_thermo,eta_toast,magnetization,correlation_length,energy
850,0.0036154287687919727,0.0007230857537583945,0.18077143843959864,8.01,0.02256821953053666,0.0028881647234159477,0.06666666666666667,2,10.0
900,0.0013258405404520611,0.00026516810809041225,0.06629202702260306,4.01,0.0165316775617464,0.0010601101430189473,0.0,0,-2.0
950,0.011314718176727601,0.00226294363534552,0.56573590883638,8.01,0.07062870272613983,0.009010945871885686,0.3333333333333333,3,2.0
1000,0.0005404498690309678,0.00010808997380619355,0.02702249345154839,8.01,0.0033735946880834445,0.0004322664428374469,0.0,1,2.0
1050,0.0006472581591233873,0.00012945163182467745,0.03236290795616936,4.01,0.008070550612511064,0.000517672491526139,0.06666666666666667,2,6.0
1100,0.0024585649226317894,0.0004917129845263578,0.12292824613158948,12.01,0.010235490935186468,0.0019649191105436323,0.26666666666666666,2,6.0
1150,0.0015939062394489945,0.0003187812478897989,0.07969531197244972,4.01,0.01987414263652113,0.0012743124082622629,0.13333333333333333,0,2.0
1200,1.7312352031950695e-06,3.462470406390139e-07,8.656176015975348e-05,4.01,2.158647385530012e-05,1.3849872034604487e-06,0.06666666666666667,2,6.0
1250,0.0019250208110180634,0.00038500416220361267,0.09625104055090317,4.01,0.02400275325458932,0.001538831507645472,0.13333333333333333,1,2.0
1300,4.808992375249233e-06,9.617984750498465e-07,0.00024044961876246163,4.01,5.996249844450415e-05,3.8471864997596094e-06,0.06666666666666667,1,2.0
1350,0.017312851182830657,0.0034625702365661316,0.8656425591415329,0.01,86.56425591415328,0.013754861684473558,0.4,4,-6.0
1400,0.004163372123966269,0.0008326744247932538,0.20816860619831346,4.01,0.051912370623020815,0.003325157845892453,0.2,1,2.0
1450,0.0019250208110180634,0.00038500416220361267,0.09625104055090317,4.01,0.02400275325458932,0.001538831507645472,0.2,1,2.0
1500,0.0023722272393412957,0.0004744454478682591,0.11861136196706479,8.01,0.01480791035793568,0.0018959822843621916,0.06666666666666667,0,2.0
1550,0.008592498961965012,0.0017184997923930024,0.4296249480982506,4.01,0.1071383910469453,0.006850433999772957,0.3333333333333333,4,-6.0
1600,1.5581199929615153e-05,3.1162399859230304e-06,0.0007790599964807576,4.01,0.00019427930086801938,1.2464882256442065e-05,0.06666666666666667,1,2.0
1650,0.009429310872214857,0.0018858621744429714,0.4714655436107429,0.01,47.14655436107429,0.007515077171029502,0.26666666666666666,2,-2.0
1700,0.0015245735879613864,0.00030491471759227725,0.07622867939806932,16.01,0.004761316639479657,0.0012189154265368008,0.06666666666666667,2,10.0
1750,0.0008129727483034311,0.00016259454966068622,0.04064863741517155,8.01,0.005074736256575724,0.0006501667543130509,0.06666666666666667,3,6.0
1800,0.005837003153767384,0.0011674006307534767,0.2918501576883692,4.01,0.07278058795221178,0.0046587189910215305,0.26666666666666666,2,2.0
1850,0.002287436904510032,0.00045748738090200635,0.11437184522550159,4.01,0.028521657163466732,0.0018282763142743108,0.2,2,2.0
1900,0.011127662979807874,0.002225532595961575,0.5563831489903937,8.01,0.0694610672896871,0.008862638306366038,0.26666666666666666,3,2.0
1950,0.003562768986388587,0.0007125537972777175,0.17813844931942935,8.01,0.022239506781451854,0.0028461576631219295,0.26666666666666666,2,6.0
2000,2.3275688614754485e-05,4.655137722950897e-06,0.0011637844307377243,12.01,9.69012848241236e-05,1.862037753055637e-05,0.2,1,-10.0
2050,0.010038473342088804,0.0020076946684177608,0.5019236671044403,8.01,0.06266213072464923,0.00799862882360736,0.26666666666666666,1,-6.0
2100,0.002163152016731851,0.0004326304033463702,0.10815760083659254,0.01,10.815760083659253,0.0017290252319984122,0.2,1,2.0
2150,0.011789270205228153,0.002357854041045631,0.5894635102614076,4.01,0.14699838161132361,0.009387097166866958,0.4666666666666667,6,-6.0
2200,0.00044327158632953003,8.8654317265906e-05,0.0221635793164765,4.01,0.0055270771362784295,0.0003545544007203135,0.0,1,-2.0
2250,0.0019637430504575006,0.0003927486100915001,0.09818715252287502,4.01,0.02448557419523068,0.0015697611552042696,0.13333333333333333,1,2.0
2300,0.003009103088417997,0.0006018206176835993,0.15045515442089985,12.01,0.01252748996010823,0.0024043875798570136,0.26666666666666666,2,-2.0
2350,0.0024152026431959904,0.0004830405286391981,0.12076013215979953,4.01,0.0301147461745136,0.0019302968409512298,0.2,1,-2.0
