t,kid_k,c_parameter,mean_ai,max_ai,entropy_production,eta_toast
20600,102.32,10.232,0.0,0,0.0,0.3244190388065032
20700,102.82,10.282,0.0,0,0.0,0.32312116059891616
20800,103.32,10.331999999999999,0.0,0,0.0,0.32183350654363646
20900,103.72,10.372,0.0,0,0.0,0.3208106649193847
21000,103.94,10.394,0.0,0,0.0,0.3202508370689512
21100,104.22,10.422,0.0,0,0.0,0.31954111663584955
21200,104.54,10.454,0.0,0,0.0,0.31873380662894973
21300,104.98,10.498000000000001,0.0,0,0.0,0.3176303192753526
21400,105.48,10.548,0.0,0,0.0,0.3163854931072475
21500,105.92,10.592,0.0,0,0.0,0.3152980018584483
21600,106.28,10.628,0.0,0,0.0,0.31441372136033574
21700,106.68,10.668000000000001,0.0,0,0.0,0.3134369246090764
21800,107.1,10.709999999999999,0.0,0,0.0,0.3124177296332301
21900,107.44,10.744,0.0,0,0.0,0.31159745784733717
22000,107.86,10.786,0.0,0,0.0,0.31059004650759114
22100,108.24,10.824,0.0,0,0.0,0.3096841176222852
22200,108.66,10.866,0.0,0,0.0,0.308688893498042
22300,109.02,10.902,0.0,0,0.0,0.30784086959426477
22400,109.56,10.956,0.0,0,0.0,0.30657744617517496
22500,109.88,10.988,0.0,0,0.0,0.3058335835557502
22600,110.18,11.018,0.0,0,0.0,0.30513945063987197
22700,110.66,11.065999999999999,0.0,0,0.0,0.3040353034826494
22800,111.04,11.104000000000001,0.0,0,0.0,0.3031667823563922
22900,111.54,11.154,0.0,0,0.0,0.3020314498844555
23000,111.84,11.184000000000001,0.0,0,0.0,0.3013542835636027
23100,112.28,11.228,0.0,0,0.0,0.30036652848950307
23200,112.7,11.27,0.0,0,0.0,0.2994296356961573
23300,113.14,11.314,0.0,0,0.0,0.2984543184327144
23400,113.52,11.352,0.0,0,0.0,0.2976170501221509
23500,114.0,11.4,0.0,0,0.0,0.2965660770031217
23600,114.34,11.434000000000001,0.0,0,0.0,0.29582607620706364
23700,114.66,11.466,0.0,0,0.0,0.29513293968032
23800,114.92,11.492,0.0,0,0.0,0.29457213167179475
23900,115.3,11.53,0.0,0,0.0,0.2937562778302545
24000,115.62,11.562000000000001,0.0,0,0.0,0.2930727086724199
24100,116.12,11.612,0.0,0,0.0,0.29201092118833455
24200,116.46,11.645999999999999,0.0,0,0.0,0.2912932507383819
24300,117.02,11.702,0.0,0,0.0,0.29011879722627393
24400,117.38,11.738,0.0,0,0.0,0.2893687361116627
24500,117.84,11.784,0.0,0,0.0,0.28841590160416414
24600,118.3,11.83,0.0,0,0.0,0.2874692680650925
24700,118.74,11.873999999999999,0.0,0,0.0,0.2865695398492998
24800,119.3,11.93,0.0,0,0.0,0.28543247625832235
24900,119.64,11.964,0.0,0,0.0,0.28474647139526055
25000,120.1,12.01,0.0,0,0.0,0.28382353549359834
25100,120.5,12.05,0.0,0,0.0,0.2830257923401007
